# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(2617920,-8604486144)
(2617920,8604486144)
(654480,1075560768)
(290880,318684672)
(290880,-318684672)
(378432,308676096)
(378432,-308676096)
(29782080,-162529721856)
(29782080,162529721856)
(-77760,-68304384)
(-77760,68304384)
(275328,152672256)
(275328,-152672256)
(-119232,4105728)
(-119232,-4105728)
(72720,-39835584)
(-27072,32610816)
(-27072,-32610816)
(171072,77262336)
(171072,-77262336)
(94608,-38584512)
(7445520,-20316215232)
(-77760,-3359232)
(-77760,3359232)
(544320,401988096)
(544320,-401988096)
(129600,48895488)
(129600,-48895488)
(40905,-16805637)
(46656,16796160)
(46656,-16796160)
(-19440,-8538048)
(-36288,-4852224)
(-36288,4852224)
(42048,-11432448)
(42048,11432448)
(0,-6718464)
(0,6718464)
(3309120,-6019619328)
(3309120,6019619328)
(5184,6345216)
(5184,-6345216)
(68832,-19084032)
(68832,19084032)
(-29808,-513216)
(88128,26500608)
(88128,-26500608)
(-6768,-4076352)
(-6768,4076352)
(1897344,-2613482496)
(31104,-6718464)
(31104,6718464)
(-15552,-3359232)
(-15552,3359232)
(1897344,2613482496)
(42768,-9657792)
(0,-3359232)
(-10368,2985984)
(-10368,-2985984)
(15552,3359232)
(-19440,419904)
(10944,-2972160)
(15552,-3359232)
(10944,2972160)
(-8640,-2529792)
(-8640,2529792)
(5184,2612736)
(5184,-2612736)
(136080,50248512)
(0,-2239488)
(-15552,1119744)
(20736,-3732480)
(20736,3732480)
(62208,-15676416)
(62208,15676416)
(-15552,-1119744)
(0,2239488)
(32400,-6111936)
(51840,-11943936)
(5760,1880064)
(30592,5654528)
(42291072,-275025549312)
(-13248,1009152)
(-10368,1492992)
(5760,-1880064)
(30592,-5654528)
(5184,-1866240)
(5184,1866240)
(51840,11943936)
(-10368,-1492992)
(42291072,275025549312)
(-13248,-1009152)
(11664,-2099520)
(93312,-28553472)
(0,-1679616)
(93312,28553472)
(0,1679616)
(11664,2099520)
(36288,7091712)
