# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# where S ranges over all finite sets of rational primes with
# M_S <= 1000000,
# and M_S = prod_{p in S} p^{f_p}, where f_2 = 8, f_3 = 5, and f_p = 2. for p >= 5.
# It contains 17036 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 2959 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2}:
#
(-384,0)
(-128,5120)
(-128,-5120)
(-192,0)
(-96,0)
(-32,-640)
(-32,640)
(-48,0)
(48,0)
(112,-1088)
(112,1088)
(528,-12096)
(160,1792)
(160,-1792)
(96,0)
(528,12096)
(192,0)
(448,-8704)
(448,8704)
(384,0)
(2112,96768)
(640,-14336)
(2112,-96768)
(640,14336)
#
# S = {3}:
#
(0,52488)
(12960,1475496)
(0,-17496)
(0,5832)
(0,-1944)
(1440,-54648)
(0,648)
(0,-216)
#
# S = {5}:
#
#
# S = {7}:
#
(5145,-453789)
(105,1323)
(1785,75411)
(87465,-25865973)
#
# S = {11}:
#
(60016,-26630648)
(14641,-6925193)
(42592,9018856)
(174361,-72809693)
(45420496,-306110205368)
(1936,202312)
(496,20008)
(121,5203)
(352,-6776)
(1441,54703)
(375376,229985128)
(16,-152)
#
# S = {13}:
#
#
# S = {17}:
#
(9537,59029695)
(33,12015)
(4353,287199)
(33,-81)
(273,4455)
(1258017,1411008687)
(9537,-397953)
(78897,21887415)
#
# S = {19}:
#
(161728,-69193592)
(658464,534837384)
(13331008,-48673713752)
(-11552,-54872)
(448,10088)
(1824,-77976)
(-32,8)
(36928,7096328)
#
# S = {23}:
#
#
# S = {29}:
#
#
# S = {31}:
#
#
# S = {37}:
#
(-151959,50602347)
(109258521,1142044369443)
(-111,999)
(79809,22546431)
(160,-2008)
(48,-216)
(89920,26964008)
(1120,36296)
(124912,-44147512)
(592,10952)
(65712,-10941048)
(123100480,1365807897224)
(219040,-101711224)
(171004528,-2236203925336)
(1533280,1838501288)
(810448,554751656)
#
# S = {41}:
#
#
# S = {43}:
#
(76326720,666830297448)
(29584,22261960)
(41280,-8387064)
(16,-280)
(1849,20339)
(3418801,-1617092873)
#
# S = {47}:
#
(-103823,-200066921)
(-47,1927)
#
# S = {53}:
#
(-42135,-44216469)
(-15,-297)
#
# S = {59}:
#
#
# S = {61}:
#
(360937,-229023829)
(97,-1009)
#
# S = {67}:
#
(1588028640,63283064015304)
(2657488,-4333393304)
(353760,-210408408)
(592,14408)
#
# S = {71}:
#
#
# S = {73}:
#
(-975207,682724835)
(-183,1755)
(57,243)
(303753,94531131)
#
# S = {79}:
#
(97,-881)
(3081,168507)
(605377,434367359)
(19228521,-83080522773)
#
# S = {83}:
#
(-323783,-113785613)
(-47,199)
#
# S = {89}:
#
(-1322807,-2118431845)
(388129,-367288849)
(-167,-3005)
(49,-521)
(73,-485)
(578233,-341909965)
#
# S = {97}:
#
#
# S = {101}:
#
(64,296)
(652864,304969096)
#
# S = {103}:
#
#
# S = {107}:
#
#
# S = {109}:
#
(4669233,10105111287)
(393,7803)
#
# S = {113}:
#
(-1825967,6312674375)
(-143,4375)
(97,847)
(1238593,1222133759)
#
# S = {127}:
#
#
# S = {131}:
#
(-549152,989160040)
(-32,-440)
#
# S = {137}:
#
#
# S = {139}:
#
(3265249,-6045328369)
(169,2251)
#
# S = {149}:
#
#
# S = {151}:
#
#
# S = {157}:
#
(50308609,-476944962785)
(2041,-123245)
#
# S = {163}:
#
(2773063919040,4617849983804591688)
(2550624,4677206760)
(104372160,-1066294102104)
(96,-1080)
#
# S = {167}:
#
#
# S = {173}:
#
#
# S = {179}:
#
(17206017,-83156680161)
(1537968,-3716499672)
(537,14499)
(48,648)
#
# S = {181}:
#
#
# S = {191}:
#
(160261033,-2029566625525)
(4393,291275)
#
# S = {193}:
#
#
# S = {197}:
#
(240,-3672)
(9314160,-28073809656)
#
# S = {199}:
#
#
# S = {211}:
#
#
# S = {223}:
#
#
# S = {227}:
#
