# List of all solutions (x,y) of the generalized Ramanujan-Nagell equation
# x^2 + 7 = 1 * y, where
# x >= 0 is an S-integer and y an S-unit, and
# S = {2,11,23,29}.
# It contains 58 pairs in total.
# Format: "(x,y)".
# Computing this list took 62 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(1/29,5888/841)
(3/23,3712/529)
(241/1331,12459008/1771561)
(13/32,7337/1024)
(1/2,29/4)
(13/23,3872/529)
(3/4,121/16)
(661/841,5387888/707281)
(9/11,928/121)
(1,8)
(9/8,529/64)
(47/29,8096/841)
(2,11)
(25/11,1472/121)
(69/29,10648/841)
(55/23,6728/529)
(655/256,887777/65536)
(61/23,7424/529)
(67/23,8192/529)
(3,16)
(4,23)
(129/29,22528/841)
(5,32)
(57/11,4096/121)
(67/11,5336/121)
(71/11,5888/121)
(27/4,841/16)
(15/2,253/4)
(9,88)
(229/23,56144/529)
(83/8,7337/64)
(11,128)
(136/11,19343/121)
(13,176)
(415/29,178112/841)
(15,232)
(19,368)
(85/4,7337/16)
(27,736)
(59/2,3509/4)
(31,968)
(43,1856)
(53,2816)
(65,4232)
(73,5336)
(75,5632)
(101,10208)
(2943/29,8667136/841)
(1401/11,1963648/121)
(181,32768)
(211,44528)
(1119357/2116,1252991435641/4477456)
(594,352843)
(1058,1119371)
(21671/16,469634033/256)
(1465,2146232)
(2741,7513088)
(3147,9903616)
