# List of all solutions (x,y) of the generalized Ramanujan-Nagell equation
# x^2 + 7 = 7 * y, where
# x >= 0 is an S-integer and y an S-unit, and
# S = {2,11,23,29}.
# It contains 39 pairs in total.
# Format: "(x,y)".
# Computing this list took 62 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(0,1)
(7/1058,1119371/1119364)
(70/121,15341/14641)
(7/11,128/121)
(707/841,778688/707281)
(21/16,319/256)
(35/23,704/529)
(7/4,23/16)
(21/11,184/121)
(63/29,1408/841)
(91/29,2024/841)
(7/2,11/4)
(49/11,464/121)
(119/23,2552/529)
(1281/184,268279/33856)
(7,8)
(231/29,8464/841)
(189/23,5632/529)
(133/16,2783/256)
(14,29)
(2163/121,683008/14641)
(553/29,44528/841)
(21,64)
(343/11,16928/121)
(35,176)
(455/11,29696/121)
(42,253)
(119,2024)
(117789/841,1982742784/707281)
(189,5104)
(203,5888)
(217,6728)
(273,10648)
(62895/128,565127959/16384)
(12355/23,21807104/529)
(18375/11,48234496/121)
(1813,469568)
(4277,2613248)
(5355,4096576)
