# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 2,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 3426 curves in total.
# It contains 37852 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 559268 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9989:
#
(29,120)
(274817/2116,143738463/97336)
(336081/6400,187994521/512000)
(1129465/12321,1192545586/1367631)
(9044505/410881,6853384126/263374721)
(6567250097/281769796,244488441568713/4729787795656)
(371226074332255760148533/8794484185294811972809,210627129315075156819400148045595684/824737151436183065262867589642373)
#
# a = -9972:
#
(22,26)
(124333/169,43840367/2197)
(1079173/1521,1121064355/59319)
(2502574/113569,1032613426/38272753)
(252210934/9628609,2672363697146/29877573727)
(1487619481/676,57376993183037/17576)
(379327697134/14547978225,154523816692582402/1754704393608375)
(12104726580361/67006428736,42078947169663811493/17345016116886016)
(1356629552727962011674769/7646281692505727696100,1578715440891091718614080797845651897/668613960593064872367850636209000)
#
# a = -9963:
#
(367,7030)
(619/25,9028/125)
(82297/2116,21517165/97336)
(745657/34596,45242675/6434856)
(18170378089/197683600,2433559829072437/2779431416000)
(917699476921/8150478400,876051798009035219/735825189952000)
(108016472382005298529/3918733729889472400,812856534002326491716816425583/7757443703652943264224632000)
(2770057371188606399027809/283258159941680010000,4610342005871098019108244145105488623/4767312756138274524470751000000)
#
# a = -9952:
#
(817/36,9001/216)
(1463833/47961,1427858765/10503459)
(6320809/13689,15890481179/1601613)
(21417261357721/976082744961,23858105817175963507/964339493456374209)
#
# a = -9947:
#
(63,490)
(651/25,10976/125)
(5593/36,417725/216)
(14217/484,1321285/10648)
(8649/400,101893/8000)
(4245171/9025,8746252844/857375)
(52139731/216225,376356201004/100544625)
(411930201/5017600,8285073254051/11239424000)
(6188351127/276457129,163752446745230/4596652683883)
(13263737263/273935601,1459099766714030/4533908132151)
(132318216247/33212169,48131502854858990/191401729947)
(267301304697/7662901444,120925029926425235/670795066604872)
(416204366209/10465290000,246366333821547073/1070599167000000)
(16300823124873/62557012996,65794893438726659515/15646384748481544)
(49643998832650401/16611493518400,11061144201934649166464399/67703796362813248000)
(214462175460671161051/1977847001049465225,3128420957210309438494083243424/2781563889804720373356409125)
(135369408945466398906681/1150162220359653889600,49653733046940860314957431969054829/39006649434032157787882362944000)
#
# a = -9939:
#
(2827/81,131572/729)
(4465/144,243593/1728)
(16339/441,1873360/9261)
(31569276643/4678569,5609148517477016/10119744747)
(1295297497465/40908816,1474192813116903859/261652787136)
(5742318591547/1818084321,13760393633051311988/77521297363119)
(183328462452025/5608825943616,2099483905253254368659/13283360046961998336)
(1457540331793345/34178428597824,51957756420954843813983/199815022978313799168)
(291193076700932576688206905953691/12507824831326623363063091329,4969029413911002547282486998976941463010580976700/1398854955387763473532275271070724202024767)
#
# a = -9933:
#
(529/16,10361/64)
(179965501/1849,2414259169972/79507)
(105751196461/3298779225,28741655965542416/189465384787875)
(250492309057/6870420544,111786383682839711/569475418051072)
#
# a = -9931:
#
(3353/16,194051/64)
(3539/49,207740/343)
(10955/361,920608/6859)
(13481384875/32114889,1565209976804344/181995075963)
(828515813713/34297558416,409950017787855961/6351770628409536)
(127487387060705/2409970598464,1390342592714192742481/3741257636820301312)
(189942580543769/8458557889600,917975888981923833853/24600531423797056000)
(330346515979444597340056619/11988577932146163223614025,4351840291276193327128512960206019929528/41509882701445978759501622097620898875)
#
# a = -9928:
#
(38,212)
(3001/4,164397/8)
(37078/1369,5049900/50653)
(364246/5929,215074812/456533)
(318953/11236,135515147/1191016)
(142226881/3489424,1566913677663/6518244032)
(6880902913/301647424,230851883057535/5239012460032)
(12624540662086/11667240225,44856117069169345084/1260236952903375)
(1814903281423606/67723296169,77317931843742192470292/17624107425132053)
(65595687843709441/969764995102500,16528469861406395249717761/30199500200736707625000)
(2092274101245943981895833/58830255546521360410084,2671648822314940978465376905750794435/14269248533619922855464759355257448)
#
# a = -9920:
#
(204,2912)
(3756/169,71456/2197)
(5209/144,334243/1728)
(632529/25600,294347417/4096000)
(6828441/132496,17184877501/48228544)
(353251116/3455881,6608440047776/6424482779)
(6016440717676/124656306489,14091303905669930464/44012028163151763)
(6397575249081/13482925456,16180909895576729939/1565583372248896)
(198541205747775244/115429259927601,88465830562119057155643808/1240148998239419551401)
(23264020667884013387724/1080205282455023730625,295565236039393301189603714414368/35502541611999295933655672609375)
#
# a = -9914:
#
(7545/4,655373/8)
(34539/1225,4793587/42875)
(7609915/314721,11473805411/176558481)
(98924506755100155/4485670851472801,8559810640304708404182019/300428482613689419367951)
#
# a = -9910:
#
(31,141)
(844921/676,776645901/17576)
(375689/8836,214916197/830584)
(2839751/113569,2895526831/38272753)
(27750959/664225,135894437573/541343375)
(2382374784121/75836347456,3033060718937107251/20884116707823104)
(11715087149551/10357743529,40097454041391772131/1054138632176917)
#
# a = -9903:
#
(196/9,557/27)
(34168/441,6248213/9261)
(735553/19044,574077185/2628072)
(36294244/641601,212588460809/513922401)
(3198907768/2792241,180926069143537/4665834711)
(2503764503832955966057/972347640880687236,125282407713138709839659231098795/958809541607855494260324984)
#
# a = -9896:
#
(90,848)
(1115358/32041,1030539364/5735339)
(1056601/4761,1085600015/328509)
(4545945/179776,6037091773/76225024)
(896070657/41049649,5913573024283/263005101143)
(8358540798/12313081,764167969958884/43206601229)
(3498682473729466/135347512871025,135241329007429361850736/1574618753252653392375)
#
# a = -9889:
#
(125,1394)
(206023865/346921,2957100211036/204336469)
(254029625/7772944,3427625864557/21670967872)
(70154674481/164608900,18580490713786121/2111932187000)
(376131167436259585/7085283992908641,222925116834513444976264216/596397608820727032748689)
#
# a = -9888:
#
(97/4,529/8)
(67729/3136,2394169/175616)
(4813681/13924,10560001673/1643032)
(68242033/79524,563734399735/22425768)
(579606913/4477456,13922212315583/9474296896)
(3889207919377/102218320656,6947457860011299335/32680832606853696)
(52689237365480362849/887471786912984100,373312243881434391541280229743/836049195532960314020361000)
(186277269144020928577/71902774995837184,2542375356534459626482159308191/19280508229808953677770752)
#
# a = -9884:
#
(60,454)
(2752/81,124858/729)
(23109/961,1889105/29791)
(139668/289,52194694/4913)
(1106520/51529,49618318/11697083)
(1813676712/14737921,77034472300598/56578878719)
(1635621801/11546404,66034054681195/39234680792)
(10812674350720/315687783321,30873793349187333026/177372653624520381)
(13500728027389/246318653025,48094262199642499037/122249179089572625)
#
# a = -9882:
#
(27,99)
(5409/4,397809/8)
(32913/484,5876487/10648)
(32931/961,5190543/29791)
(8323/361,334135/6859)
(6909217/150544,17207884495/58411072)
(57007089/506944,428922687159/360944128)
(763323499/4862025,21062392886557/10720765125)
(3039777982611/8419714081,5299283972924343513/772584544358479)
(5615440500771/64176595561,13208354970668797113/16257921130063691)
(14877876713371/316884555625,54578280028031254331/178382238475203125)
#
# a = -9875:
#
(105/4,725/8)
(11305/144,1189675/1728)
(5121/196,244831/2744)
(869169/7396,807850697/636056)
(1043889/13456,1055211287/1560896)
(138062505/64,1622234463125/512)
(1176391639305/50628600064,588631257423047525/11391840043200512)
(227574023567305/1908094670244,3423074955196395706075/2635723675605506472)
(65660901841969/2489572754244,361542732061261995703/3928142495410844472)
(1003163059791544905/431570626421284,1004747944559313945190641125/8965568169909898932952)
#
# a = -9874:
#
(691/9,17965/27)
(53467/361,12344337/6859)
(27016945/964324,104238297207/946966168)
(53993665/55696,396745361631/13144256)
(12349327286269387/496106173980481,823229511577447207294287/11049991595889978705121)
(944422605146331256720817068345/3896414977119693070634243136,917484922916896175011826483823221661790617491/243219172214789428977999865471823123664384)
#
# a = -9872:
#
(41,243)
(13121/25,1502919/125)
(47569/1764,7311079/74088)
(708601/9216,589976333/884736)
(673753/26244,356937373/4251528)
(3295053069281209/25097394672900,188731465629432599898323/125731171014667317000)
(7736402059146073/389331073296,680469317422449951883555/242928573818065344)
#
# a = -9870:
#
(1359409/50176,1124879447/11239424)
(6844681/88804,17713237669/26463592)
(69993001/527076,584338853141/382657176)
#
# a = -9868:
#
(2597/121,5785/1331)
(75397/1521,19846585/59319)
(167489/2500,67411487/125000)
(795926295761/10703971600,701509841631322009/1107432901736000)
(408688180542929/16197652900,8262055665441034823783/2061475284583000)
(87022727467916837/36282299263441,25671360231289174905606935/218545667685052331239)
(53259958791816245329/2396408119610976900,123591144903775591745439330983/3709720360362854758353147000)
(993544091367945744641/45443085795511690000,7396687842991787608286489266561/306338598734402094878303000000)
#
# a = -9864:
#
(22,28)
(123145/196,43213211/2744)
(33845654950/513430281,6118505346023524/11633816737179)
(378426516406/14121281889,162532517244069140/1678074290715537)
(5621231383366/146103595225,12118478827193559836/55845907720827875)
(7321885113481/180320828164,18294569475190699355/76571797113217288)
#
# a = -9862:
#
(3121/36,173033/216)
(98191/441,30754837/9261)
(26737471/783225,119900338019/693154125)
(3627490207/5948721,218474084656331/14508930519)
(106368400003777/4311420348816,642740342798582104609/8952215966600147136)
(109511466771580591/4979629369787121,9777562127439430537197683/351394961147159806388169)
(1318186870233497389423/28456478332069654881,45423023154093404292231306519805/151799984986253651085389199471)
#
# a = -9853:
#
(281/4,4643/8)
(3961217/12769,7882632406/1442897)
(25201693/751689,108726045740/651714363)
(50715429941/199854769,11417714934867512/2825346869353)
#
# a = -9844:
#
(62,478)
(1228685/57121,142234129/13651919)
(61073857/1313316,453329655263/1505060136)
(226373510/10452289,599566448458/33792250337)
(95891406134/39627025,29694046191664598/249452122375)
(569871719741/8461608169,423206915807296585/778357950641803)
(266649148019446/5349122475489,4177625176765356976070/12371541396393042513)
(7125484161190893550/195913517541921,19020484202512246620018643054/2742184068731207006031)
#
# a = -9839:
#
(30,131)
(5688/49,427631/343)
(30003/1369,1328126/50653)
(357646/3249,213094565/185193)
(792840/17161,669813421/2248091)
(815657344/2499561,23291643379645/3951805941)
(7617537177/345365056,191606259537347/6418264200704)
(36366060544877715/228320553241,6934966797716501573307766/109098181634593789)
(6869533622130795705/9659218647192976,18004660666305857817254651219/949320797451614564780224)
#
# a = -9829:
#
(193/9,154/27)
(75602293/56169,657357430436/13312053)
(108648145/4901796,353389654009/10852576344)
(12450774505/853776,1389295250089739/788889024)
(2086029361441/91463904900,1247673989843974511/27661428758907000)
(49953735790669/17988442641,353062717056293098960/2412627915453561)
#
# a = -9823:
#
(353/16,1937/64)
(4051/9,257822/27)
(62723/2809,5389130/148877)
(38735651/1352569,183887010862/1573037747)
(129151065473/240126016,46412320234298303/3720992743936)
(990752712371/15976009,986161185253875562/63856107973)
#
# a = -9817:
#
(1169/4,39961/8)
(1873364716097/25550104336,2531960507027189089/4084030877483584)
(1060186606665323020355089/121158738027369000000,1091624984611532834457087771542472313/1333620036278450412597000000000)
#
# a = -9810:
#
(1099,36433)
(356476626739/10958949225,179966675274540013/1147237599619125)
(5021728783441586041/110130364022538304,10655194182141734820328273741/36547747187898065945297408)
(525641972060604750039104761/24467639779531309370896656,1240330159093358249627560340553764602739/121028629948117069400442068041334522304)
#
# a = -9804:
#
(853/9,24769/27)
(12829/81,1451285/729)
(66145/36,17011601/216)
(1890216385/59721984,68302453441697/461531492352)
(248761450573/3935429289,121640302394547821/246881285586837)
(578186776465/22086120996,296081145371901241/3282306785699544)
(19142276040624814465/41672817875980944,83746833596100595676041252417/8507056203022263635176128)
(44345406074954387444057125603763291905/1114466006140310805373887474485044224,271357992637342021032120021491276857821890712746603812223/1176522505149807902810825501873268356061948494199226368)
#
# a = -9790:
#
(1079,35443)
(7106951/44521,18923511869/9393931)
(1252254281/2972176,44310878653499/5124031424)
(47035577161/563682564,10114619428345211/13382951434488)
(1355541613361/5024824996,1577832768773660521/356189744666456)
#
# a = -9787:
#
(3929/100,225533/1000)
(14687/289,1712270/4913)
(204667/8649,47340440/804357)
(545927218835681/20346053635600,8959650309030824140079/91774130291955496000)
(74286523519406249/3389240047152400,5377874418831413536110443/197311997888279758232000)
#
# a = -9770:
#
(5571/25,415631/125)
#
# a = -9767:
#
(66,527)
(216,3173)
(2938/9,159227/27)
(18231/625,1917004/15625)
