/** 
 * List of all reduced triples (y, x, a) of rational integers satisfying the 
 * Mordell equation    y^2 = x^3 + a    with c(a)<=185 and y>=0.
 * Here, c(a) is the multiplicative function that sends a prime power p^k to p^(min(2,k)).
 * This list contains 557 triples in total.
 * We do not list the only reduced solution for a=0, 1^2 = -1^3 + 0, since c(0) is not defined. 
 *
 * Format: "c(a): y^2 = x^3 + a" (without danger we omit the paranthesis around negative x). 
 * Authors: Rafael von Känel and Benjamin Matschke, 2014
 * License: Creative commons 3.0 by-nc.
 */

1: 0^2 = -1^3 + 1
1: 0^2 = 1^3 + -1
1: 1^2 = 0^3 + 1
1: 3^2 = 2^3 + 1
2: 1^2 = -1^3 + 2
2: 5^2 = 3^3 + -2
3: 2^2 = 1^3 + 3
4: 2^2 = 2^3 + -4
4: 3^2 = 1^3 + 8
4: 4^2 = 2^3 + 8
4: 11^2 = 5^3 + -4
4: 13^2 = -7^3 + 512
4: 71^2 = 17^3 + 128
4: 312^2 = 46^3 + 8
5: 2^2 = -1^3 + 5
7: 1^2 = 2^3 + -7
7: 181^2 = 32^3 + -7
9: 1^2 = -2^3 + 9
9: 6^2 = 3^3 + 9
9: 10^2 = 7^3 + -243
9: 15^2 = 6^3 + 9
9: 46^2 = 13^3 + -81
9: 253^2 = 40^3 + 9
10: 3^2 = -1^3 + 10
11: 4^2 = 3^3 + -11
11: 58^2 = 15^3 + -11
12: 2^2 = -2^3 + 12
12: 4^2 = -2^3 + 24
12: 4^2 = 4^3 + -48
12: 5^2 = 1^3 + 24
12: 7^2 = 1^3 + 48
12: 11^2 = -23^3 + 12288
12: 32^2 = 10^3 + 24
12: 47^2 = 13^3 + 12
12: 131^2 = 25^3 + 1536
12: 148^2 = 28^3 + -48
12: 23053^2 = 505^3 + 402653184
12: 736844^2 = 8158^3 + 24
13: 70^2 = 17^3 + -13
15: 4^2 = 1^3 + 15
15: 7^2 = 4^3 + -15
15: 1138^2 = 109^3 + 15
17: 3^2 = -2^3 + 17
17: 4^2 = -1^3 + 17
17: 5^2 = 2^3 + 17
17: 9^2 = 4^3 + 17
17: 23^2 = 8^3 + 17
17: 282^2 = 43^3 + 17
17: 375^2 = 52^3 + 17
17: 378661^2 = 5234^3 + 17
18: 3^2 = 3^3 + -18
18: 9^2 = 3^3 + 54
18: 17^2 = 7^3 + -54
18: 19^2 = -5^3 + 486
18: 19^2 = 7^3 + 18
18: 215^2 = 19^3 + 39366
19: 12^2 = 5^3 + 19
19: 18^2 = 7^3 + -19
20: 4^2 = -4^3 + 80
20: 9^2 = 1^3 + 80
20: 12^2 = 4^3 + 80
20: 14^2 = 6^3 + -20
20: 16^2 = 6^3 + 40
20: 37^2 = 9^3 + 640
20: 52^2 = 14^3 + -40
20: 292^2 = 44^3 + 80
20: 299^2 = 41^3 + 20480
20: 3229^2 = -39^3 + 10485760
22: 7^2 = 3^3 + 22
23: 2^2 = 3^3 + -23
25: 10^2 = 5^3 + -25
25: 29^2 = 6^3 + 625
25: 650^2 = 75^3 + 625
26: 1^2 = 3^3 + -26
26: 5^2 = -1^3 + 26
26: 207^2 = 35^3 + -26
28: 1^2 = -3^3 + 28
28: 6^2 = 2^3 + 28
