# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(-656,36741)
(-1088,18555)
(844,47259)
(1144,55941)
(-557,38202)
(-538,38425)
(-982,26177)
(-1132,13477)
(3538,214287)
(-1177,1292)
(1079,53744)
(2708,146597)
(2948,165083)
(3014,170329)
(3434,205249)
(7162,607455)
(7264,620421)
(841/4,324123/8)
(-1727/4,315135/8)
(11458,1227153)
(3673/4,392445/8)
(7304,625531)
(10483,1074078)
(-1298/9,1089811/27)
(-1892/9,1087705/27)
(-3368/9,1073159/27)
(3622/9,1112381/27)
(18128,2441093)
(18212,2458075)
(36928,7096443)
(751/9,1091008/27)
(6856/25,5081871/125)
(-8174/25,4995699/125)
(-5207/16,2558187/64)
(19858/9,3003445/27)
(16456/25,5473521/125)
(-9809/9,496072/27)
(-25826/25,2877093/125)
(-27014/25,2406141/125)
(-28676/25,1386543/125)
(51994,11855841)
(26314/25,6612387/125)
(38887,7668540)
(28033/16,5358657/64)
(3593/16,2594587/64)
(51673/4,11750595/8)
(10217/16,2784245/64)
(-57074/49,2472177/343)
(32636/25,7762991/125)
(35324/25,8341457/125)
(35009/16,7042271/64)
(26399/25,6625768/125)
(-31433/49,12687396/343)
(83542/9,24171299/27)
(114088/49,40951245/343)
(-23434/49,13384993/343)
(22772/49,14277101/343)
(180154,76465569)
(116348,39686117)
(-69479/64,9616323/512)
(62428/121,55989663/1331)
(71074/121,57013821/1331)
(-15049/49,13733852/343)
(90761/4,27345083/8)
(23722/81,29677735/729)
(135778/121,73448637/1331)
(86248/81,38845763/729)
(197374/121,102861771/1331)
(-116279/100,7746981/1000)
(308974/25,171818757/125)
(113944/81,48443581/729)
(-70999/64,8365163/512)
(32827/121,54101010/1331)
(-80398/121,48701795/1331)
(-142336/121,2807681/1331)
(232916/25,112521839/125)
(157471/9,62498132/27)
(485764,338561829)
(163129/36,66461939/216)
(-152309/169,65917038/2197)
(532204,388255131)
(-186758/289,181338159/4913)
(406963,259616562)
(400777/64,254561499/512)
(-18434/225,136328761/3375)
(330814/361,336142749/6859)
(102577/144,77155991/1728)
(412444/81,266511331/729)
(445024/361,406108041/6859)
(676132/289,590333931/4913)
(28712/289,198547339/4913)
(847408/121,781930623/1331)
(241651/289,231319338/4913)
(328031/25,187944304/125)
(461618/121,318211043/1331)
(-202432/289,176357515/4913)
(182936/289,213352843/4913)
(574262,435176185)
(-169448/529,486578979/12167)
(-374054/529,435072537/12167)
(555259/121,417234786/1331)
(-449948/529,387983229/12167)
(579169/100,442613553/1000)
(-181421/225,112341358/3375)
(821881/4,745098093/8)
(-251647/256,106995073/4096)
(-387263/484,356342529/10648)
(-418442/841,947420157/24389)
(877558/81,822606767/729)
(-554429/529,266828838/12167)
(343922/529,531323159/12167)
(651449/16,525806419/64)
(-1046246/961,550755711/29791)
(414167/289,332326984/4913)
(-325991/676,685251549/17576)
(156041/400,329029339/8000)
(500807/289,406206356/4913)
(1841848/529,2547531555/12167)
(1111442/289,1188429791/4913)
(-349724/729,767837647/19683)
(-532652/729,693704015/19683)
(1460306/25,1764686579/125)
(2670928,4365090693)
(-210736/841,980567591/24389)
(1912894/961,2906574729/29791)
(-864292/841,570302393/24389)
(887897/256,852858275/4096)
(1661707/361,2159909790/6859)
(376244/961,1225498171/29791)
(-197641/625,625113148/15625)
(418918/1089,1476974215/35937)
(2148556/9,3149343577/27)
(-2122784/1849,867192993/79507)
(1956823/529,2781115860/12167)
(-1281488/1089,58835611/35937)
(1074433/1156,1939526817/39304)
(1682806/1849,3883705563/79507)
(1264478/961,1862891447/29791)
(1697299/961,2517579066/29791)
(1778342/841,2568049565/24389)
(36296/1369,2046418897/50653)
(-2565698/2209,839260761/103823)
(2137483/841,3276686682/24389)
(1878358/2209,4921496535/103823)
(4570126/25,9769949499/125)
(1558126/1089,2427073687/35937)
(-1501768/1369,894893521/50653)
(2750606/25,4561869371/125)
(301481/1024,1334153237/32768)
(5357062/49,12399103359/343)
(4918828/841,10953596217/24389)
(3117152/169,5504190359/2197)
(-1111162/1681,2526103057/68921)
(4643584/1225,10155266073/42875)
(387511/1089,1471776632/35937)
(3231152/289,5811517301/4913)
(846386/1849,3305157053/79507)
(2470946/1225,4252877131/42875)
(3119593/1156,5734184853/39304)
(1991288/1849,4267745185/79507)
(-2245316/2025,1494584873/91125)
(-2543117/2209,1070693430/103823)
(260126/2209,4196600167/103823)
(-538618/2209,4175834441/103823)
(5813632/2209,14631637941/103823)
(-1311319/1444,1630817717/54872)
(-2736224/4225,10129804101/274625)
(4621144/3481,12943397169/205379)
(442961/1600,2602385959/64000)
(1569073/2704,6011044905/140608)
(4865278/3481,13565131227/205379)
(-1638758/4489,11968516059/300763)
(4553726/529,9729830497/12167)
(-2454764/4489,11526240807/300763)
(4950544/225,11015714197/3375)
(3413572/4489,13690247079/300763)
(5263214/25,12074706437/125)
(4537369/1936,10259524221/85184)
(1453996/5329,15813976413/389017)
(-2960374/3025,4385911001/166375)
(-1032368/3249,7407997811/185193)
(944299/2025,3794133718/91125)
(6125998/81,15162335263/729)
(265192/5929,18444673239/456533)
(7034227/289,18657315126/4913)
(7521001/484,20630412267/10648)
(2253337/2304,5603942269/110592)
(8762338/5041,29695879047/357911)
(-2876191/2500,1307643377/125000)
(2971793/2116,6458290087/97336)
(-575252/7921,28477767603/704969)
(-4972054/4225,427882369/274625)
(11299846/4225,39571919769/274625)
(7481678/1681,20652937727/68921)
(15303244/625,59868640653/15625)
(-3845168/4761,10922095025/328509)
