# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 66265, of rank 5, where
# S is the set of the first 140 primes.
# It contains 441 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 467696 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-6,257)
(-24,229)
(24,283)
(54,473)
(-9,256)
(51,446)
(306,5359)
(136/9,7129/27)
(654,16727)
(-341/9,2942/27)
(964/9,30727/27)
(759,20912)
(1024/9,33497/27)
(-864/25,19759/125)
(-876/25,19057/125)
(906/25,42179/125)
(2266/9,108091/27)
(-1151/36,39583/216)
(-2684/81,126019/729)
(4356/49,300749/343)
(2626/81,230921/729)
(81/64,131801/512)
(3601/36,223129/216)
(-1734/121,334931/1331)
(8604/49,802957/343)
(9706/9,956251/27)
(1884/169,571433/2197)
(-4881/121,33268/1331)
(1066/225,869489/3375)
(13926/25,1643701/125)
(3196/225,887381/3375)
(14214/49,1696927/343)
(9489/100,959513/1000)
(-11694/289,18049/4913)
(-3881/225,834472/3375)
(20304/121,2913377/1331)
(-12276/361,1125833/6859)
(-14586/361,119597/6859)
(2481/256,1061609/4096)
(29256,5004059)
(14929/144,1877543/1728)
(5161/324,1546379/5832)
(-2706/529,3128863/12167)
(20649/100,2978357/1000)
(-28106/729,1862837/19683)
(-12231/484,2383987/10648)
(22846/729,6131611/19683)
(46596/289,10137461/4913)
(-25149/625,521474/15625)
(-30746/1521,14286527/59319)
(94014/289,28854023/4913)
(49209/676,11816563/17576)
(110004/1681,40569827/68921)
(-11421/1681,17699602/68921)
(169656/121,69880991/1331)
(-72356/2601,28057193/132651)
(116586/2401,50018639/117649)
(-61319/2304,24081101/110592)
(139254/3025,67339633/166375)
(82336/3969,68565979/250047)
(203239/81,91624472/729)
(185106/4225,106490129/274625)
(-104786/5625,103165813/421875)
(239889/64,117494023/512)
(101796/7921,184356499/704969)
(41319/5329,100492312/389017)
(288934/8649,258831683/804357)
(517654/8649,426129443/804357)
(-58194/12769,371164999/1442897)
(843616/9,774849241/27)
(258681/10000,289093171/1000000)
(356481/13924,473484001/1643032)
(-737564/25281,818206939/4019679)
(596331/15625,681793646/1953125)
(744279/14161,774900652/1685159)
(2134134/15625,3157966723/1953125)
(1858644/24025,2709189103/3723875)
(1828006/25281,2679397991/4019679)
(-793199/24336,675284921/3796416)
(2727156/1369,4503672401/50653)
(1397311/19881,1802479564/2803221)
(1201611/24649,1651471546/3869893)
(-246774/57121,3512136721/13651919)
(1519044/55225,3829606303/12977875)
(3638484/19321,6974686337/2685619)
(2651121/2116,4316697751/97336)
(795504/66049,4426827493/16974593)
(4589196/1681,9831179299/68921)
(4822026/961,10588743679/29791)
(3263664/52441,6657280753/12008989)
(337656/78961,5715012109/22188041)
(-3097776/80089,2077043953/22665187)
(5415234/9025,12603536977/857375)
(1202716/88209,6871682141/26198073)
(3588691/3969,6798663766/250047)
(1473369/53824,3678460637/12487168)
(-1978416/93025,6752772427/28372625)
(326734/99225,8048051227/31255875)
(-208149/72361,5009806246/19465109)
(-3428744/110889,7074261001/36926037)
(-4378194/112225,3120254329/37595375)
(4006209/59536,8847724513/14526784)
(-4083756/152881,12987486157/59776471)
(-4211031/106276,2206235957/34645976)
(-5030856/223729,24794193587/105823817)
(6596916/212521,30383235031/97972181)
(10320321/3364,33154333889/195112)
(907771/164025,17122293694/66430125)
(-10477386/259081,1485161347/131872229)
(10322479/45369,33257858932/9663597)
(-11055306/279841,10049646857/148035889)
(6762414/310249,47834174173/172808693)
(-3713669/205209,22834461626/92959677)
(17307576/172225,74317112699/71473375)
(21617754/47089,100545936457/10218313)
(-4088094/383161,60491878141/237176659)
(12954729/99856,47329764277/31554496)
(-5858196/383161,59384723423/237176659)
(15931054/281961,74355257827/149721291)
(25502334/51529,128821562483/11697083)
(4777641/262144,36094014059/134217728)
(16692219/38809,68226308762/7645373)
(28594204/225,152903355733/3375)
(-8488104/525625,94928861569/381078125)
(23780146/408321,134010199151/260917119)
(5148876/579121,114047816179/440711081)
(7452136/585225,117027874009/447697125)
(3990201/376996,60117143629/231475544)
(23678499/34225,115232424682/6331625)
(-11559134/613089,117158423041/480048687)
(-13786839/384400,33812831659/238328000)
(-22833926/613089,58010467247/480048687)
(-22589034/619369,64948085491/487443403)
(24521769/163216,122611091243/65939264)
(38567584/363609,246075717583/219256227)
(45350706/165649,305897668151/67419143)
(52401984/22801,379334882237/3442951)
(42433396/385641,283206142601/239483061)
(31603771/131769,178093803086/47832147)
(29371506/748225,230425476529/647214625)
(57349836/32761,434311123711/5929741)
(43191874/567009,304394026303/426957777)
(16162329/649636,149630905373/523606616)
(-28238496/1087849,250579973993/1134626507)
(41284291/178929,265977900766/75686967)
(15190744/1134225,316536665597/1207949625)
(74501934/11449,643059816683/1225043)
(33825369/487204,215324873213/340068392)
(80086974/96721,716750775967/30080231)
(74621734/356409,646934280283/212776173)
(-20270919/795664,158270256301/709732288)
(-26511854/1361889,385678125089/1589324463)
(94183276/225,914030502101/3375)
(29872371/801025,246404387794/716917375)
(13149361/1102500,301786409609/1157625000)
(82313634/1050625,796596471473/1076890625)
(-6583734/1792921,617762461181/2400721219)
(-13608894/1857769,649886763451/2532139147)
(-19769874/2019241,733376240771/2869341461)
(-20416149/1297321,369020555654/1477648619)
(37637191/1238769,423416822984/1378749897)
(145132044/90601,1748430880393/27270901)
(-37131519/1503076,416926837409/1842771176)
(162920754/255025,2079791503367/128787625)
(109439761/324,1144887210521/5832)
(-126386636/3143529,198960219127/5573476917)
(185256616/1279161,2548863335231/1446731091)
(176451984/1918225,2441639324227/2656741625)
(15699694/4076361,2119523254957/8230172859)
(102909279/2175625,1331254270292/3209046875)
(166137399/628849,2145260501428/498677257)
(-126801054/4695889,2196138028361/10175991463)
(-23917041/3115225,1410549077948/5498372125)
(327782076/18769,5934413513731/2571353)
(-203553054/5040025,222834006131/11314856125)
(122307319/3470769,2144790262988/6466042647)
(-83870804/6796449,4495913516789/17718342543)
(487389276/36481,10760041833979/6967871)
(-169169321/4422609,943847857468/9300746727)
(244082971/3583449,4194141412814/6783468957)
(-24423746/11594025,10161616806883/39477655125)
(-197976426/11404129,9514284335447/38511743633)
(758670744/63001,20896810953007/15813251)
(311383839/6056521,6701739037628/14905098181)
(476013009/2421136,10430699013913/3767287616)
(56988319/8874441,6818983687268/26436959739)
(491946916/11675889,14984426777491/39896512713)
(444600831/5221225,9864894829604/11930499125)
(860801506/3908529,25333627026599/7727161833)
(989200714/731025,31112323012313/625026375)
(-589507266/14569489,265737858367/55611739513)
(343396911/8922169,9357274393196/26650518803)
(1028590264/2614689,33006528090773/4227952113)
(211705719/10452289,9228086497912/33792250337)
(994240354/5377761,31513907362177/12471027759)
(1142781256/2117025,38639911548779/3080271375)
(680451369/3717184,17845505307563/7166730752)
(1250776284/273529,44235364219583/143055667)
(-692540846/18122049,7888000836943/77145562593)
(213951721/12702096,12066359373451/45270270144)
(1080182784/9186961,36217846192387/27845678791)
(-165698034/21911761,26316995954881/102568953241)
(1437034896/552049,54475570526989/410172407)
(1367780454/3822025,50621885820733/7472058875)
(-913163546/23011209,6779973875293/110384769573)
(243986226/25836889,34020809068531/131328906787)
(-878448126/24611521,17606715510767/122097755681)
(512098444/25857225,35775509681753/131483989125)
(1253807601/178084,44396260270231/75151448)
(1853674056/8265625,80042763474671/23763671875)
(1112929264/27154521,52012525968847/141502208931)
(-15167081/22896225,28202458897072/109558436625)
(2392981636/88209,117060142761629/26198073)
