# List of all S-integral points on all rational elliptic curves (using Cremona's database) up to conductor 100,
# where S is the set of the first 10000 primes.
# It contains 1724 points in total.
# Format: "(x,y)".
# Computing this list took 121892 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a-invariants: (0, -1, 1, -10, -20)
# Cremona label: 11a1
#
(16,-61)
(5,-6)
(16,60)
(5,5)
#
# a-invariants: (0, -1, 1, -7820, -263580)
# Cremona label: 11a2
#
#
# a-invariants: (0, -1, 1, 0, 0)
# Cremona label: 11a3
#
(0,-1)
(0,0)
(1,0)
(1,-1)
#
# a-invariants: (1, 0, 1, 4, -6)
# Cremona label: 14a1
#
(2,2)
(9,23)
(1,-1)
(2,-5)
(9,-33)
#
# a-invariants: (1, 0, 1, -36, -70)
# Cremona label: 14a2
#
(-4,5)
(10,19)
(-4,-2)
(10,-30)
(-9/4,5/8)
#
# a-invariants: (1, 0, 1, -171, -874)
# Cremona label: 14a3
#
(15,-8)
#
# a-invariants: (1, 0, 1, -1, 0)
# Cremona label: 14a4
#
(0,-1)
(0,0)
(1,0)
(1,-2)
(-1,0)
#
# a-invariants: (1, 0, 1, -2731, -55146)
# Cremona label: 14a5
#
(-121/4,117/8)
#
# a-invariants: (1, 0, 1, -11, 12)
# Cremona label: 14a6
#
(2,-1)
(0,-4)
(0,3)
(7/4,-11/8)
(2,-2)
#
# a-invariants: (1, 1, 1, -10, -10)
# Cremona label: 15a1
#
(-2,3)
(3,-2)
(8,18)
(-2,-2)
(-1,0)
(-13/4,9/8)
(8,-27)
#
# a-invariants: (1, 1, 1, -135, -660)
# Cremona label: 15a2
#
(-7,3)
(-29/4,25/8)
(13,-7)
#
# a-invariants: (1, 1, 1, -5, 2)
# Cremona label: 15a3
#
(-3,1)
(1,-1)
(0,-2)
(0,1)
(2,1)
(2,-4)
(3/4,-7/8)
#
# a-invariants: (1, 1, 1, 35, -28)
# Cremona label: 15a4
#
(7,-29)
(32,171)
(32,-204)
(7,21)
(2,-9)
(3/4,-7/8)
(2,6)
#
# a-invariants: (1, 1, 1, -2160, -39540)
# Cremona label: 15a5
#
(-109/4,105/8)
#
# a-invariants: (1, 1, 1, -110, -880)
# Cremona label: 15a6
#
(51/4,-55/8)
#
# a-invariants: (1, 1, 1, -80, 242)
# Cremona label: 15a7
#
(5,-2)
(19/4,-23/8)
(5,-4)
#
# a-invariants: (1, 1, 1, 0, 0)
# Cremona label: 15a8
#
(0,-1)
(0,0)
(-1,0)
#
# a-invariants: (1, -1, 1, -1, -14)
# Cremona label: 17a1
#
(7,-21)
(7,13)
(11/4,-15/8)
#
# a-invariants: (1, -1, 1, -6, -4)
# Cremona label: 17a2
#
(-1,0)
(3,-2)
(-5/4,1/8)
#
# a-invariants: (1, -1, 1, -91, -310)
# Cremona label: 17a3
#
(-21/4,17/8)
#
# a-invariants: (1, -1, 1, -1, 0)
# Cremona label: 17a4
#
(0,-1)
(0,0)
(1,-1)
#
# a-invariants: (0, 1, 1, -9, -15)
# Cremona label: 19a1
#
(5,9)
(5,-10)
#
# a-invariants: (0, 1, 1, -769, -8470)
# Cremona label: 19a2
#
#
# a-invariants: (0, 1, 1, 1, 0)
# Cremona label: 19a3
#
(0,-1)
(0,0)
#
# a-invariants: (0, 1, 0, 4, 4)
# Cremona label: 20a1
#
(-1,0)
(0,-2)
(0,2)
(4,-10)
(4,10)
#
# a-invariants: (0, 1, 0, -1, 0)
# Cremona label: 20a2
#
(0,0)
(-1,1)
(1,-1)
(-1,-1)
(1,1)
#
# a-invariants: (0, 1, 0, -36, -140)
# Cremona label: 20a3
#
(7,0)
#
# a-invariants: (0, 1, 0, -41, -116)
# Cremona label: 20a4
#
(-4,0)
#
# a-invariants: (1, 0, 0, -4, -1)
# Cremona label: 21a1
#
(2,-1)
(-1/4,1/8)
(-1,-1)
(-1,2)
(5,-13)
(-2,1)
(5,8)
#
# a-invariants: (1, 0, 0, -49, -136)
# Cremona label: 21a2
#
(-17/4,17/8)
(8,-4)
(-4,2)
#
# a-invariants: (1, 0, 0, -39, 90)
# Cremona label: 21a3
#
(3,-3)
(-3,15)
(6,-12)
(3,0)
(6,6)
(15/4,-15/8)
(-3,-12)
#
# a-invariants: (1, 0, 0, 1, 0)
# Cremona label: 21a4
#
(0,0)
(1,-2)
(1,1)
#
# a-invariants: (1, 0, 0, -784, -8515)
# Cremona label: 21a5
#
(-65/4,65/8)
#
# a-invariants: (1, 0, 0, -34, -217)
# Cremona label: 21a6
#
(31/4,-31/8)
#
# a-invariants: (0, -1, 0, -4, 4)
# Cremona label: 24a1
#
(4,-6)
(2,0)
(-2,0)
(0,-2)
(1,0)
(0,2)
(4,6)
#
# a-invariants: (0, -1, 0, -24, -36)
# Cremona label: 24a2
#
(-2,0)
(-3,0)
(6,0)
#
# a-invariants: (0, -1, 0, -64, 220)
# Cremona label: 24a3
#
(6,-4)
(6,4)
(5,0)
#
# a-invariants: (0, -1, 0, 1, 0)
# Cremona label: 24a4
#
(0,0)
(1,-1)
(1,1)
#
# a-invariants: (0, -1, 0, -384, -2772)
# Cremona label: 24a5
#
(-11,0)
#
# a-invariants: (0, -1, 0, 16, -180)
# Cremona label: 24a6
#
(5,0)
#
# a-invariants: (1, 0, 1, -5, -8)
# Cremona label: 26a1
#
(4,4)
(4,-9)
#
# a-invariants: (1, 0, 1, -460, -3830)
# Cremona label: 26a2
#
#
# a-invariants: (1, 0, 1, 0, 0)
# Cremona label: 26a3
#
(0,-1)
(0,0)
#
# a-invariants: (1, -1, 1, -3, 3)
# Cremona label: 26b1
#
(-1,-2)
(-1,2)
(1,0)
(1,-2)
(3,2)
(3,-6)
#
# a-invariants: (1, -1, 1, -213, -1257)
# Cremona label: 26b2
#
#
# a-invariants: (0, 0, 1, 0, -7)
# Cremona label: 27a1
#
(3,4)
(3,-5)
#
# a-invariants: (0, 0, 1, -270, -1708)
# Cremona label: 27a2
#
#
# a-invariants: (0, 0, 1, 0, 0)
# Cremona label: 27a3
#
(0,-1)
(0,0)
#
# a-invariants: (0, 0, 1, -30, 63)
# Cremona label: 27a4
#
(3,0)
(3,-1)
#
# a-invariants: (1, 0, 1, 1, 2)
# Cremona label: 30a1
#
(3,-8)
(0,-2)
(0,1)
(3,4)
(-1,0)
#
# a-invariants: (1, 0, 1, -19, 26)
# Cremona label: 30a2
#
(4,-7)
(13,-52)
(-2,8)
(1,-4)
(3,-2)
(4,2)
(-2,-7)
(7/4,-11/8)
(13,38)
(1,2)
(-5,2)
#
# a-invariants: (1, 0, 1, -14, -64)
# Cremona label: 30a3
#
(5,-3)
#
# a-invariants: (1, 0, 1, -69, -194)
# Cremona label: 30a4
#
(-4,-3)
(-4,6)
(14,-48)
(14,33)
(-25/4,21/8)
#
# a-invariants: (1, 0, 1, -289, 1862)
# Cremona label: 30a5
#
(39/4,-43/8)
(16,29)
(10,-7)
(10,-4)
(16,-46)
#
# a-invariants: (1, 0, 1, -334, -2368)
# Cremona label: 30a6
#
(-11,5)
(-41/4,37/8)
(21,-11)
#
# a-invariants: (1, 0, 1, -5334, -150368)
# Cremona label: 30a7
#
(-169/4,165/8)
#
# a-invariants: (1, 0, 1, -454, -544)
# Cremona label: 30a8
#
(87/4,-91/8)
#
# a-invariants: (0, 0, 0, 4, 0)
# Cremona label: 32a1
#
(0,0)
(2,-4)
(2,4)
#
# a-invariants: (0, 0, 0, -1, 0)
# Cremona label: 32a2
#
(-1,0)
(0,0)
(1,0)
#
# a-invariants: (0, 0, 0, -11, -14)
# Cremona label: 32a3
#
(-2,0)
#
# a-invariants: (0, 0, 0, -11, 14)
# Cremona label: 32a4
#
(1,-2)
(2,0)
(1,2)
#
# a-invariants: (1, 1, 0, -11, 0)
# Cremona label: 33a1
#
(0,0)
(11/4,-11/8)
(-4,2)
#
# a-invariants: (1, 1, 0, -6, -9)
# Cremona label: 33a2
#
(-2,1)
#
# a-invariants: (1, 1, 0, -146, 621)
# Cremona label: 33a3
#
(27/4,-27/8)
(4,-13)
(4,9)
#
# a-invariants: (1, 1, 0, 44, 55)
# Cremona label: 33a4
#
(-5/4,5/8)
#
# a-invariants: (1, 0, 0, -3, 1)
# Cremona label: 34a1
#
(0,-1)
(2,-3)
(0,1)
(2,1)
(-2,1)
#
