# List of S-integral points (x,y) on the elliptic curve
# y^2 + y = x^3 - 6349808647*x + 193146346911036
# assuming that the Mordell-Weil rank is at most the analytic rank of this curve (as predicted by BSD), where
# S is the set of the first 7 primes.
# It contains 2316 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1317329 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(42543,72833)
(42541,84530)
(42464,280691)
(42321,464589)
(42187,590750)
(41990,743622)
(49421,200114)
(49493,333458)
(49513,362258)
(41746,905085)
(49632,502899)
(49667,538049)
(49797,654674)
(41442,1082450)
(49899,735713)
(50012,818375)
(50165,921837)
(41074,1276386)
(50215,954017)
(40636,1488999)
(50823,1305633)
(51108,1454591)
(51376,1589084)
(38756,2294720)
(52840,2270507)
(37887,2637249)
(37228,2889783)
(36441,3185069)
(54329,2920146)
(35965,3360882)
(54576,3025884)
(35184,3645468)
(35022,3703950)
(34411,3922974)
(56052,3651375)
(33454,4261521)
(56986,4043850)
(32037,4753874)
(57819,4392926)
(58007,4471649)
(60115,5354622)
(60568,5544708)
(28296,6010635)
(62036,6162224)
(25615,6877697)
(63163,6638241)
(24477,7237874)
(22028,7997591)
(65936,7818300)
(66058,7870533)
(18007,9200225)
(16344,9681476)
(16096,9752435)
(70629,9848621)
(71203,10100033)
(14051,10329534)
(13687,10430750)
(13352,10523499)
(11115,11132897)
(75317,11922450)
(8719,11766273)
(8237,11891250)
(75874,12171986)
(76266,12348005)
(77834,13055418)
(2206,13384670)
(572,13766424)
(-3659,14708205)
(-6674,15337134)
(-7501,15503361)
(87363,17469633)
(-11035,16182482)
(89798,18629241)
(90667,19046174)
(91474,19434813)
(-14359,16773869)
(-14748,16839999)
(95649,21467661)
(95751,21517790)
(-20836,17787783)
(-22511,18018866)
(-26041,18461918)
(-26792,18548283)
(-27260,18600672)
(101588,24422991)
(-31753,19046174)
(-35677,19346241)
(107783,27584033)
(-38989,19530750)
(109540,28494912)
(111490,29513202)
(-44822,19690341)
(-50760,19613147)
(-52476,19541088)
(-53216,19502643)
(-58227,19117133)
(-58914,19046174)
(122788,35563008)
(-62502,18597258)
(-69894,17190570)
(-70431,17058573)
(197521/4,171379/8)
(-75282,15637166)
(-77123,14971250)
(-78023,14615250)
(200321/4,6924429/8)
(201953/4,8956317/8)
(-88692,7658216)
(-88777,7561758)
(159585/4,14568091/8)
(-89660,6457632)
(-89718,6377274)
(-90217,5632158)
(-91135,3860877)
(-91888,877500)
(147444,49621551)
(159892,57145200)
(222073/4,27409375/8)
(179324,69433511)
(193976,79120859)
(245121/4,46751979/8)
(195213,79954866)
