# List of S-integral points (x,y) on the elliptic curve
# y^2 = x^3 + x^2 - 1692310759026568999140789578145*x + 839379398840982294584587970773038145228669599
# in the span of 14 independent rational points given by Fermigier and the torsion points, where
# S is the set of the first 2 primes.
# It contains 178 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 62252 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(809823326908353,0)
(866442291552879,4852554862534554468168)
(5669161626637791,416471863148635757166984)
(6537092325195231,518777331682157018648184)
(857862052428399,4351358710435185250488)
(643619051198181,4097833397957401859316)
(-845553481014126,40813982316182312504037)
(310789314615903,18532307930418477983880)
(2999530665437946,150832925221536994856391)
(935470575993669,8654920131154858324092)
(3153630333177186,163910104603939034655741)
(927209571873189,8209204785115731247572)
(888397344640005,6091180351451306685468)
(4311371438242122,271445468504099342225871)
(988927329611391,11530632350958995292984)
(21113764446391111/9,2670209668749377607316136/27)
(457633282001745,12679234836823026227832)
(114495121345893/4,224992447087051348029927/8)
(1312412323249617,29646300808250030388456)
(5429000646163005/4,258329262728233934936469/8)
(832699306754277,2752675553616194984436)
(12836879883228690,1447220393947026559821093)
(826558774600170,2299903692043702512543)
(17249819940963717,2259300713439519018801756)
(901327246292049,6803202895565802125112)
(15266349863953749/4,1788393470797517881143903/8)
(-523790823485073,39775503223504666503864)
(641629251319695,4206475773834951036168)
(666671559463653,2732538398103885902580)
(824772249168303,2158509315471929616840)
(81042937622329231/81,8861554441638129732778936/729)
(2252513103656559,91957939555201321662648)
(690291245594778,342430653544628328855)
(683954941423809,1365781157598162056352)
(-88066364514708711/64,12143861717321552956079517/512)
(2191409680250085/4,70052106447307921537881/8)
(-2163694340346407/9,947824450225959015402328/27)
(525020649518661,9777602220982957477116)
(100381794465783903,31801392766974866323833720)
(468234194556047,12232694934197235706104)
(-1500080776937265,1561077631534009293432)
(-127308190590075,32446280031052686613668)
(-475784676466545,39202691808623441800968)
(5287423394484303,373779478146894033949560)
(834459652332879,2875365326174991251832)
(1203290930183805/4,151264874873281342628469/8)
(5094097936013505,352717418568217003687968)
(55938692075648433/64,2706956811151278447149577/512)
(-1216071403624929,33150982793050237812984)
(264390034585543161/256,56930541319371049427739789/4096)
(2043868629414849,76932263994889835066688)
(-275642328071281,35845626406160636844792)
(3245035907095461/4,5059654842978782681991/8)
(192451748003301201,84425354642504620213322616)
(15810629065297215,1981504619631019187023032)
