# List of S-integral points (x,y) on the elliptic curve
# y^2 + x*y + y = x^3 - x^2 + 31368015812338065133318565292206590792820353345*x + 302038802698566087335643188429543498624522041683874493555186062568159847
# in the span of 19 independent rational points given by Elkies and the torsion points, where
# S is the set of the first 0 primes.
# It contains 458 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 261219 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-655364911965298267755181,327682455982649133877590)
(5899891391903966377134419,14347639699769449638266120627165595990)
(-454018472080236130715317,440691567254066057512173990749311446)
(212976028797658124431379,564251515599338156225710976012098710)
(864634269644743542799059,987701721376206054408603369106778070)
(-518658445748364600992941,382422514971276391178814000066390870)
(8999463830544438688429379,27008407074654301962142237069866023910)
(-302269129288364868992941,514723138422182642613803473518390870)
(30989607884522983166084819,172517604014485736878076010138516421590)
(347387958532768461210779,595699500178359613839146232105005910)
(660889130431613710725459,781939297540006195974690922069936470)
(703522141129999963493459,819945448797859348247391699288650070)
(315928115156967649833779,586073209855118818054238488799348310)
(-500096558109036999502941,401595982784223293785437941393780870)
(7845256666982180468119379,21986550333571340221964470112805293910)
(-292726468437813059457421,517468046062197243225405389691034710)
(2984286489798317933170259,5193611799390856339530937087360278870)
(4097491508531910713260059,8320164850451384200426687116923146070)
(-377662957068013235752621,486134197968846426664094803629754710)
(131730368226974610997157459,1511921628996937524349136162916124336470)
(-645394974208236747662221,113862454641376386979614794253773910)
(2605105433535992596826423,4250117342712695605481912510853997830)
(-250552912635410495441581,527684142646777743362500012394293590)
(1180239243288163892067923,1408223041865152568705292623653183830)
(63677652598921423458419,551628903543037926619585637884693590)
(431824428701487912358655,629370787927170826935008515707038406)
(1874710083846500309204819,2636206436639674666310626498770229590)
(-370058093911003769562541,489646762107007253610092721198736470)
(3970803955359183244417779,7939482912788929341313386384539593910)
(1255108830974323342763363,1522688323480381164594724037414433990)
(35499081426889779822419,550633338845609011911579978152437590)
(1830468992525082528782949459,78314750159675389799976467555311068394070)
(-654644110281918572150221,30827728067668940775412940861288310)
(-644677038973286778790581,117827483786580702232513477836320990)
(122837636951428168245561683,1361437367907587278968877700161499311446)
(14749973249422886074304819,56655045066263492547083386494505705590)
(1204230441754050620733779,1444352150349218506869769998299348310)
(-650524592393336518690605,79640940229816606341570443524397526)
(272028597313125968407379219,4486647382314683490297410461982222595990)
(-344738106585190046210221,500254807013954163194019692898221910)
(3593713069901327943239459,6843007908488634118479754840711006470)
(30861197265983994044417669,171446466552846278919392308852874133240)
(3296316187302021571885259,6018489996489383086719697427657451870)
(1317694445606946603015059,1622131223552620700258144960994798870)
(13584815397305583527379,549970397787481368283665590647837910)
(42338042363426357796480059,275486818682840236088589694911908906070)
(-624665379107532603432621,196711942086293285505770677708474710)
(-363417908506673489986221,492586606167928050251975911435348310)
(192681890071166522618195,561459187298450859866975534979139926)
(901008528921086537784219,1030415025626329983936750138180315990)
(-340963986083103695178541,501701285495532534077705697422282070)
(-334834027739247562721221,503980356415839695098346863667372910)
(36036614139527669980076879,216332921775046568028230764067494719210)
(-556261923546754102126621,335361490697933567362026392497930710)
(12662876448667695896031059,45068522629300108388494408093397834070)
(-361098538572155798110765,493586306109165126869500217548258518)
(-16116082079329187699581,549116642783365386439292771889933990)
(-58529505713502678180121,547724696843487996965896291088027910)
(-64103824465231784184621,547507599082723914699007657790602710)
(1646593413511919495085395,2195005302993173754963105286458845526)
(-335455968422809510330941,503753032116550225900264783579142870)
(-428490311544140084738931,458176166275251046654351925125281840)
(887374066476777842171219,1014209718729158601038061652339304790)
(-289931407463818982438281,518239839773829713650749861194774790)
(2956448189624144549344595,5122095866970760927996107826835368278)
