# List of S-integral points (x,y) on the elliptic curve
# y^2 + x*y = x^3 - 5818216808130*x + 5401285759982786436, where
# S is the set of the first 12 primes.
# It contains 1040 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 191308 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(1402932,-701466)
(1067634,637035330)
(1145136,489626526)
(1194816,393470238)
(987594,785948706)
(1284264,216935646)
(674526,1335195138)
(593310,1468762464)
(1296168,193075194)
(1909968,1119848094)
(1573410,376054914)
(1517424,257249010)
(2157906,1700254956)
(1380054,13917576)
(-2375304,2413591338)
(1365048,51389034)
(-878730,3136583784)
(1467138,151466754)
(2749200,3189953694)
(-1106022,3238358148)
(1368480,43776066)
(-1693224,3225493086)
(1375014,28389090)
(3911886,6517561026)
(1437384,88804830)
(1367778,45350274)
(-1055920,3220394654)
(-1479696,3282611826)
(1372946,33452588)
(1410240,28567074)
(13230858,47370142164)
(6234735/4,2757424317/8)
(1957908,1229957814)
(8273667/4,11901241419/8)
(1532820,289793046)
(5525859/4,63341079/8)
(-2623596,1615949526)
(1406880,19468866)
(23297178,111857001348)
(9997960/9,14989384298/27)
(1106958,562635714)
(2582420,2755172246)
(5904867/4,1364226819/8)
(367284,1820226630)
(21111501/16,9347051739/64)
(24769029/16,20614981125/64)
(1998516,1324026246)
(1790382,849673794)
(40650696/25,61118660454/125)
(1621482,479146914)
(44961024/25,108459750822/125)
(72370488,615288009054)
(1404150,9858594)
(-2766156,575674950)
(22115181/16,138553419/64)
(34318326/25,4245112536/125)
(-1459368,3284646474)
(34522554/25,1326081732/125)
(-2520768,2013726114)
(22827189/16,4221433839/64)
(5039796,10199792838)
(35549166/49,428565973998/343)
(1275336,234767838)
(38164584/25,34574884242/125)
(2101982,1566988064)
(66753282/49,19667237934/343)
(-725040,3039866526)
(5648259/4,264608079/8)
(10867604,35004387926)
(177116655/4,2353556501493/8)
(1404948,13131318)
(2402868,2299776294)
(95320065/64,101464984293/512)
(11274292/9,7553474066/27)
(3310275/4,8587246623/8)
(842403/4,16365573267/8)
(33260916/25,15465290046/125)
(-218226,2580918960)
(163303176/121,112078955886/1331)
(69320640/49,13490176818/343)
(8743818,24956213538)
(-393324,2762239638)
(48773179/36,15836553761/216)
(69460512/49,15729247794/343)
(7311450,18803579106)
(1458834,134027436)
(356851056/121,4959175933878/1331)
(488242830/289,3078615514992/4913)
(1704648,659967834)
(811638,1101261858)
(363199800/289,1335040513278/4913)
(31143216,173276106546)
(12652546/9,438276100/27)
(233126094/121,1541397583590/1331)
(1567976,364465886)
(29285364/25,54865875102/125)
(4118303/4,5666117737/8)
(-658794,2991711906)
(393330936/289,295514047230/4913)
(-140101935/64,1416450349437/512)
(1378868,17836838)
(844324176/529,5165309131602/12167)
(1850466,984612738)
(19808661/16,19758697599/64)
(7908436/9,26541950690/27)
(1037451834/169,31142724592836/2197)
(1421184,53932386)
(11561044/9,5841251426/27)
(10763229/16,85647131859/64)
(399389142/289,22737263874/4913)
(-2720520,1047625566)
(-2770950,498846306)
(498982368/361,12189259722/6859)
(4950767/4,2475352597/8)
(43111380/49,336503580762/343)
(-2433318,2270818884)
(862749984/625,197503078098/15625)
(-5157393/4,26246568237/8)
(165869940/121,51152233794/1331)
(16999590,69411516024)
(170425368/121,31895375934/1331)
(23211837/16,7488546531/64)
(80274324/25,556370822958/125)
(12849688/9,1841729998/27)
(122169846/25,1209480115416/125)
(34009314/25,7688686428/125)
(-30775632/49,1018060778622/343)
(9863328,30120979998)
(510146730/361,244685898294/6859)
(825299319/1444,82523466500667/54872)
(1298964,187455990)
(407437734/289,135086553528/4913)
(13953624,51384046410)
(71170968/49,41381766642/343)
(78696726/25,534224502234/125)
(1389828297/1024,2233255224939/32768)
(-489420,2851841766)
(89876649/64,5440955577/512)
(63560244,506340531750)
(1886556192/1369,1026456343014/50653)
(-2071590,2927475426)
(-1403169/4,21762438945/8)
(391202964/289,372270692118/4913)
(68780496/49,2574050718/343)
(116410146,1255664490588)
(8910264,25704887646)
(1359282486/961,1153590496158/29791)
(5127031374/4225,98032690720752/274625)
(946632,860842074)
(111647808/169,2984189407818/2197)
(32162106/25,26561610564/125)
