"r","f(r)","w(r)","a","f(a)","w(a)","b","f(b)","w(b)","c","f(c)","w(c)"
2,"2",1,1,"",0,1,"",0,2,"2^1",1
6,"2*3",2,1,"",0,2,"2^1",1,3,"3^1",1
6,"2*3",2,1,"",0,3,"3^1",1,4,"2^2",1
6,"2*3",2,1,"",0,8,"2^3",1,9,"3^2",1
10,"2*5",2,1,"",0,4,"2^2",1,5,"5^1",1
14,"2*7",2,1,"",0,7,"7^1",1,8,"2^3",1
30,"2*3*5",3,1,"",0,5,"5^1",1,6,"2^1*3^1",2
30,"2*3*5",3,1,"",0,9,"3^2",1,10,"2^1*5^1",2
30,"2*3*5",3,1,"",0,15,"3^1*5^1",2,16,"2^4",1
30,"2*3*5",3,1,"",0,24,"2^3*3^1",2,25,"5^2",1
30,"2*3*5",3,1,"",0,80,"2^4*5^1",2,81,"3^4",1
30,"2*3*5",3,2,"2^1",1,3,"3^1",1,5,"5^1",1
30,"2*3*5",3,2,"2^1",1,25,"5^2",1,27,"3^3",1
30,"2*3*5",3,3,"3^1",1,5,"5^1",1,8,"2^3",1
30,"2*3*5",3,3,"3^1",1,125,"5^3",1,128,"2^7",1
30,"2*3*5",3,4,"2^2",1,5,"5^1",1,9,"3^2",1
30,"2*3*5",3,5,"5^1",1,27,"3^3",1,32,"2^5",1
30,"2*3*5",3,9,"3^2",1,16,"2^4",1,25,"5^2",1
34,"2*17",2,1,"",0,16,"2^4",1,17,"17^1",1
42,"2*3*7",3,1,"",0,6,"2^1*3^1",2,7,"7^1",1
42,"2*3*7",3,1,"",0,27,"3^3",1,28,"2^2*7^1",2
42,"2*3*7",3,1,"",0,48,"2^4*3^1",2,49,"7^2",1
42,"2*3*7",3,1,"",0,63,"3^2*7^1",2,64,"2^6",1
42,"2*3*7",3,2,"2^1",1,7,"7^1",1,9,"3^2",1
42,"2*3*7",3,3,"3^1",1,4,"2^2",1,7,"7^1",1
42,"2*3*7",3,7,"7^1",1,9,"3^2",1,16,"2^4",1
42,"2*3*7",3,32,"2^5",1,49,"7^2",1,81,"3^4",1
66,"2*3*11",3,1,"",0,11,"11^1",1,12,"2^2*3^1",2
66,"2*3*11",3,1,"",0,32,"2^5",1,33,"3^1*11^1",2
66,"2*3*11",3,1,"",0,242,"2^1*11^2",2,243,"3^5",1
66,"2*3*11",3,2,"2^1",1,9,"3^2",1,11,"11^1",1
66,"2*3*11",3,3,"3^1",1,8,"2^3",1,11,"11^1",1
66,"2*3*11",3,11,"11^1",1,16,"2^4",1,27,"3^3",1
70,"2*5*7",3,1,"",0,49,"7^2",1,50,"2^1*5^2",2
70,"2*5*7",3,2,"2^1",1,5,"5^1",1,7,"7^1",1
70,"2*5*7",3,7,"7^1",1,25,"5^2",1,32,"2^5",1
78,"2*3*13",3,1,"",0,12,"2^2*3^1",2,13,"13^1",1
