2: 1 + 1 = 2 (1.000): 1 + 1 = 2^1
2,3: 1 + 8 = 9 (1.226): 1 + 2^3 = 3^2
2,3,5: 5 + 27 = 32 (1.019): 5^1 + 3^3 = 2^5
2,3,5: 1 + 80 = 81 (1.292): 1 + 2^4 5^1 = 3^4
2,3,5: 3 + 125 = 128 (1.427): 3^1 + 5^3 = 2^7
2,3,7: 1 + 48 = 49 (1.041): 1 + 2^4 3^1 = 7^2
2,3,7: 1 + 63 = 64 (1.113): 1 + 3^2 7^1 = 2^6
2,3,7: 32 + 49 = 81 (1.176): 2^5 + 7^2 = 3^4
2,3,11: 1 + 242 = 243 (1.311): 1 + 2^1 11^2 = 3^5
2,3,13: 13 + 243 = 256 (1.273): 13^1 + 3^5 = 2^8
2,3,17: 1 + 288 = 289 (1.225): 1 + 2^5 3^2 = 17^2
2,5,11: 4 + 121 = 125 (1.027): 2^2 + 11^2 = 5^3
2,3,19: 1 + 512 = 513 (1.318): 1 + 2^9 = 3^3 19^1
2,7,13: 169 + 343 = 512 (1.199): 13^2 + 7^3 = 2^9
2,3,5,7: 1 + 224 = 225 (1.013): 1 + 2^5 7^1 = 3^2 5^2
2,3,5,7: 2 + 243 = 245 (1.029): 2^1 + 3^5 = 5^1 7^2
2,3,5,7: 7 + 243 = 250 (1.033): 7^1 + 3^5 = 2^1 5^3
2,3,5,7: 81 + 175 = 256 (1.037): 3^4 + 5^2 7^1 = 2^8
2,3,5,7: 100 + 243 = 343 (1.092): 2^2 5^2 + 3^5 = 7^3
2,3,5,7: 32 + 343 = 375 (1.108): 2^5 + 7^3 = 3^1 5^3
2,3,5,7: 49 + 576 = 625 (1.204): 7^2 + 2^6 3^2 = 5^4
2,3,5,7: 5 + 1024 = 1029 (1.297): 5^1 + 2^10 = 3^1 7^3
2,3,5,7: 1 + 2400 = 2401 (1.456): 1 + 2^5 3^1 5^2 = 7^4
2,3,5,7: 1 + 4374 = 4375 (1.568): 1 + 2^1 3^7 = 5^4 7^1
2,3,5,11: 25 + 704 = 729 (1.137): 5^2 + 2^6 11^1 = 3^6
2,3,5,11: 81 + 1250 = 1331 (1.240): 3^4 + 2^1 5^4 = 11^3
2,3,5,11: 625 + 2048 = 2673 (1.361): 5^4 + 2^11 = 3^5 11^1
2,3,5,13: 5 + 507 = 512 (1.046): 5^1 + 3^1 13^2 = 2^9
2,3,5,13: 1 + 624 = 625 (1.079): 1 + 2^4 3^1 13^1 = 5^4
2,3,5,13: 1 + 675 = 676 (1.092): 1 + 3^3 5^2 = 2^2 13^2
2,3,5,13: 104 + 625 = 729 (1.105): 2^3 13^1 + 5^4 = 3^6
2,3,5,13: 10 + 2187 = 2197 (1.290): 2^1 5^1 + 3^7 = 13^3
2,3,7,11: 27 + 512 = 539 (1.025): 3^3 + 2^9 = 7^2 11^1
2,3,7,11: 8 + 1323 = 1331 (1.172): 2^3 + 3^3 7^2 = 11^3
2,3,5,17: 81 + 544 = 625 (1.033): 3^4 + 2^5 17^1 = 5^4
2,3,5,17: 125 + 2187 = 2312 (1.242): 5^3 + 3^7 = 2^3 17^2
2,3,7,13: 1 + 728 = 729 (1.046): 1 + 2^3 7^1 13^1 = 3^6
2,3,5,19: 1 + 1215 = 1216 (1.119): 1 + 3^5 5^1 = 2^6 19^1
2,3,5,19: 243 + 1805 = 2048 (1.202): 3^5 + 5^1 19^2 = 2^11
2,3,5,23: 200 + 529 = 729 (1.008): 2^3 5^2 + 23^2 = 3^6
2,3,5,23: 23 + 2025 = 2048 (1.166): 23^1 + 3^4 5^2 = 2^11
2,3,7,17: 1024 + 1377 = 2401 (1.185): 2^10 + 3^4 17^1 = 7^4
2,3,7,17: 1 + 5831 = 5832 (1.320): 1 + 7^3 17^1 = 2^3 3^6
2,3,7,17: 289 + 6272 = 6561 (1.338): 17^2 + 2^7 7^2 = 3^8
2,5,7,11: 343 + 625 = 968 (1.034): 7^3 + 5^4 = 2^3 11^2
2,5,7,11: 11 + 3125 = 3136 (1.211): 11^1 + 5^5 = 2^6 7^2
2,3,11,17: 243 + 1088 = 1331 (1.024): 3^5 + 2^6 17^1 = 11^3
2,3,11,17: 9 + 2048 = 2057 (1.086): 3^2 + 2^11 = 11^2 17^1
2,3,11,17: 11 + 2176 = 2187 (1.095): 11^1 + 2^7 17^1 = 3^7
2,5,7,17: 25 + 2023 = 2048 (1.077): 5^2 + 7^1 17^2 = 2^11
2,3,7,29: 343 + 59049 = 59392 (1.547): 7^3 + 3^10 = 2^11 29^1
2,5,7,19: 1 + 6859 = 6860 (1.228): 1 + 19^3 = 2^2 5^1 7^3
2,5,11,13: 1 + 6655 = 6656 (1.212): 1 + 5^1 11^3 = 2^9 13^1
2,3,13,19: 1024 + 2187 = 3211 (1.106): 2^10 + 3^7 = 13^2 19^1
2,3,11,23: 256 + 1331 = 1587 (1.006): 2^8 + 11^3 = 3^1 23^2
2,3,11,23: 121 + 12167 = 12288 (1.285): 11^2 + 23^3 = 2^12 3^1
2,3,13,23: 81 + 2116 = 2197 (1.027): 3^4 + 2^2 23^2 = 13^3
2,3,13,23: 1 + 3887 = 3888 (1.103): 1 + 13^2 23^1 = 2^4 3^5
2,3,13,23: 1 + 12167 = 12168 (1.256): 1 + 23^3 = 2^3 3^2 13^2
2,5,11,19: 125 + 3971 = 4096 (1.088): 5^3 + 11^1 19^2 = 2^12
2,5,11,19: 16 + 6859 = 6875 (1.156): 2^4 + 19^3 = 5^4 11^1
2,3,5,7,11: 25 + 2376 = 2401 (1.005): 5^2 + 2^3 3^3 11^1 = 7^4
2,3,5,7,11: 99 + 2401 = 2500 (1.010): 3^2 11^1 + 7^4 = 2^2 5^4
2,3,5,7,11: 1 + 3024 = 3025 (1.035): 1 + 2^4 3^3 7^1 = 5^2 11^2
2,3,5,7,11: 128 + 3645 = 3773 (1.063): 2^7 + 3^6 5^1 = 7^3 11^1
2,3,5,7,11: 648 + 3125 = 3773 (1.063): 2^3 3^4 + 5^5 = 7^3 11^1
2,3,5,7,11: 7 + 3993 = 4000 (1.071): 7^1 + 3^1 11^3 = 2^5 5^3
2,3,5,7,11: 2048 + 2187 = 4235 (1.078): 2^11 + 3^7 = 5^1 7^1 11^2
2,3,5,7,11: 7 + 5625 = 5632 (1.115): 7^1 + 3^2 5^4 = 2^9 11^1
2,3,5,7,11: 1125 + 8192 = 9317 (1.180): 3^2 5^3 + 2^13 = 7^1 11^3
2,3,5,7,11: 1 + 9800 = 9801 (1.187): 1 + 2^3 5^2 7^2 = 3^4 11^2
2,3,5,7,11: 1331 + 9604 = 10935 (1.201): 11^3 + 2^2 7^4 = 3^7 5^1
2,3,5,7,11: 49 + 16335 = 16384 (1.253): 7^2 + 3^3 5^1 11^2 = 2^14
2,3,5,7,11: 3584 + 14641 = 18225 (1.267): 2^9 7^1 + 11^4 = 3^6 5^2
2,3,5,7,13: 875 + 2197 = 3072 (1.015): 5^3 7^1 + 13^3 = 2^10 3^1
2,3,5,7,13: 1 + 4095 = 4096 (1.051): 1 + 3^2 5^1 7^1 13^1 = 2^12
2,3,5,7,13: 256 + 3969 = 4225 (1.055): 2^8 + 3^4 7^2 = 5^2 13^2
2,3,5,7,13: 2401 + 4160 = 6561 (1.111): 7^4 + 2^6 5^1 13^1 = 3^8
2,3,5,7,13: 1183 + 8192 = 9375 (1.156): 7^1 13^2 + 2^13 = 3^1 5^5
2,3,5,7,13: 9 + 10976 = 10985 (1.176): 3^2 + 2^5 7^3 = 5^1 13^3
2,3,5,7,13: 1625 + 16807 = 18432 (1.241): 5^3 13^1 + 7^5 = 2^11 3^2
2,3,5,7,13: 243 + 21632 = 21875 (1.263): 3^5 + 2^7 13^2 = 5^5 7^1
2,3,5,7,13: 7168 + 78125 = 85293 (1.435): 2^10 7^1 + 5^7 = 3^8 13^1
2,7,11,23: 121 + 16807 = 16928 (1.191): 11^2 + 7^5 = 2^5 23^2
2,3,5,7,17: 459 + 3125 = 3584 (1.000): 3^3 17^1 + 5^5 = 2^9 7^1
2,3,5,7,17: 35 + 4096 = 4131 (1.018): 5^1 7^1 + 2^12 = 3^5 17^1
2,3,5,7,17: 17 + 5103 = 5120 (1.044): 17^1 + 3^6 7^1 = 2^10 5^1
2,3,5,7,17: 3087 + 4913 = 8000 (1.099): 3^2 7^3 + 17^3 = 2^6 5^3
2,3,5,7,17: 68 + 16807 = 16875 (1.190): 2^2 17^1 + 7^5 = 3^3 5^4
2,3,5,7,19: 2401 + 3375 = 5776 (1.045): 7^4 + 3^3 5^3 = 2^4 19^2
2,3,5,7,19: 19 + 6125 = 6144 (1.052): 19^1 + 5^3 7^2 = 2^11 3^1
2,3,5,7,19: 784 + 6075 = 6859 (1.065): 2^4 7^2 + 3^5 5^2 = 19^3
2,3,5,7,19: 32 + 11875 = 11907 (1.132): 2^5 + 5^4 19^1 = 3^5 7^2
2,3,5,7,19: 729 + 14896 = 15625 (1.165): 3^6 + 2^4 7^2 19^1 = 5^6
2,3,5,7,19: 475 + 19208 = 19683 (1.192): 5^2 19^1 + 2^3 7^4 = 3^9
2,3,5,11,13: 64 + 6591 = 6655 (1.052): 2^6 + 3^1 13^3 = 5^1 11^3
2,3,5,11,13: 16 + 14625 = 14641 (1.147): 2^4 + 3^2 5^3 13^1 = 11^4
2,3,5,11,13: 1936 + 13689 = 15625 (1.155): 2^4 11^2 + 3^4 13^2 = 5^6
2,3,5,11,13: 6561 + 22000 = 28561 (1.227): 3^8 + 2^4 5^3 11^1 = 13^4
2,3,5,11,13: 507 + 32768 = 33275 (1.245): 3^1 13^2 + 2^15 = 5^2 11^3
2,3,5,11,13: 121 + 255879 = 256000 (1.489): 11^2 + 3^9 13^1 = 2^11 5^3
2,7,17,19: 49 + 4864 = 4913 (1.010): 7^2 + 2^8 19^1 = 17^3
2,3,5,7,23: 161 + 6400 = 6561 (1.036): 7^1 23^1 + 2^8 5^2 = 3^8
2,3,5,7,23: 2401 + 9375 = 11776 (1.105): 7^4 + 3^1 5^5 = 2^9 23^1
2,3,5,7,23: 162 + 12005 = 12167 (1.109): 2^1 3^4 + 5^1 7^4 = 23^3
2,3,5,7,23: 8192 + 8575 = 16767 (1.147): 2^13 + 5^2 7^3 = 3^6 23^1
2,3,5,7,23: 40 + 16767 = 16807 (1.147): 2^3 5^1 + 3^6 23^1 = 7^5
2,3,5,7,23: 1 + 25920 = 25921 (1.198): 1 + 2^6 3^4 5^1 = 7^2 23^2
2,3,5,7,23: 125 + 50176 = 50301 (1.276): 5^3 + 2^10 7^2 = 3^7 23^1
2,3,5,7,23: 128 + 109375 = 109503 (1.368): 2^7 + 5^6 7^1 = 3^2 23^3
2,3,5,11,17: 25 + 9801 = 9826 (1.065): 5^2 + 3^4 11^2 = 2^1 17^3
2,3,5,11,17: 11 + 24565 = 24576 (1.171): 11^1 + 5^1 17^3 = 2^13 3^1
2,3,7,11,13: 1183 + 6561 = 7744 (1.029): 7^1 13^2 + 3^8 = 2^6 11^2
2,3,7,11,13: 1 + 10647 = 10648 (1.066): 1 + 3^2 7^1 13^2 = 2^3 11^3
2,3,7,11,13: 8019 + 8788 = 16807 (1.118): 3^6 11^1 + 2^2 13^3 = 7^5
2,3,7,11,13: 49 + 28512 = 28561 (1.179): 7^2 + 2^5 3^4 11^1 = 13^4
2,3,5,11,19: 19 + 8000 = 8019 (1.028): 19^1 + 2^6 5^3 = 3^6 11^1
2,3,5,11,19: 5120 + 6859 = 11979 (1.074): 2^10 5^1 + 19^3 = 3^2 11^3
2,3,5,13,17: 2197 + 7803 = 10000 (1.047): 13^3 + 3^3 17^2 = 2^4 5^4
2,3,5,13,17: 4913 + 13312 = 18225 (1.115): 17^3 + 2^10 13^1 = 3^6 5^2
2,3,5,13,17: 17 + 140608 = 140625 (1.347): 17^1 + 2^6 13^3 = 3^2 5^6
2,11,17,19: 4913 + 9728 = 14641 (1.082): 17^3 + 2^9 19^1 = 11^4
2,3,5,13,19: 3125 + 6859 = 9984 (1.033): 5^5 + 19^3 = 2^8 3^1 13^1
2,3,5,13,19: 1125 + 27436 = 28561 (1.151): 3^2 5^3 + 2^2 19^3 = 13^4
2,3,5,13,19: 338 + 390625 = 390963 (1.445): 2^1 13^2 + 5^8 = 3^1 19^4
2,3,5,11,23: 759 + 15625 = 16384 (1.086): 3^1 11^1 23^1 + 5^6 = 2^14
2,3,5,11,23: 9 + 64000 = 64009 (1.239): 3^2 + 2^9 5^3 = 11^2 23^2
2,3,5,11,23: 1 + 71874 = 71875 (1.252): 1 + 2^1 3^3 11^3 = 5^5 23^1
2,3,7,11,17: 98 + 14641 = 14739 (1.070): 2^1 7^2 + 11^4 = 3^1 17^3
2,3,7,11,19: 49 + 14592 = 14641 (1.056): 7^2 + 2^8 3^1 19^1 = 11^4
2,3,7,11,19: 2166 + 14641 = 16807 (1.072): 2^1 3^1 19^2 + 11^4 = 7^5
2,3,7,11,19: 19 + 43904 = 43923 (1.177): 19^1 + 2^7 7^3 = 3^1 11^4
2,3,7,11,19: 81 + 123823 = 123904 (1.292): 3^4 + 7^3 19^2 = 2^10 11^2
2,3,7,11,19: 12672 + 117649 = 130321 (1.297): 2^7 3^2 11^1 + 7^6 = 19^4
2,3,5,13,23: 6877 + 8748 = 15625 (1.061): 13^1 23^2 + 2^2 3^7 = 5^6
2,3,5,13,23: 3159 + 13225 = 16384 (1.066): 3^5 13^1 + 5^2 23^2 = 2^14
