# List of all pairs of integers (x,y) such that
# x + y is a cube, gcd(x,y) is cube-free, x >= y, |x| >= |y|, and the only primes dividing x and y lie in S,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 372 pairs (x,y), some of which may appear for more than one S.
# Format: "(x,y)".
# Computing this list took 976 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
(6,-6)
(6,2)
(9,-9)
(9,-8)
(9,-1)
(12,-12)
(12,-4)
(18,-18)
(18,9)
(24,3)
(36,-36)
(36,-9)
(128,-3)
#
# S = {2, 5}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(5,-5)
(5,-4)
(10,-10)
(10,-2)
(20,-20)
(25,-25)
(25,2)
(32,-5)
(50,-50)
(100,-100)
(100,25)
#
# S = {2, 7}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(7,-7)
(7,1)
(8,-7)
(14,-14)
(28,-28)
(28,-1)
(49,-49)
(98,-98)
(196,-196)
(392,-49)
#
# S = {2, 11}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(11,-11)
(16,11)
(22,-22)
(44,-44)
(121,-121)
(121,4)
(242,-242)
(484,-484)
#
# S = {2, 13}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(13,-13)
(26,-26)
(26,1)
(52,-52)
(169,-169)
(338,-338)
(512,-169)
(676,-676)
#
# S = {2, 17}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(17,-17)
(17,-16)
(34,-34)
(68,-68)
(68,-4)
(289,-289)
(578,-578)
(1156,-1156)
(4624,289)
#
# S = {2, 19}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(19,-19)
(19,8)
(38,-38)
(76,-76)
(361,-361)
(722,-722)
(1444,-1444)
(184832,361)
#
# S = {2, 23}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(23,-23)
(23,4)
(46,-46)
(92,-92)
(529,-529)
(1058,-1058)
(2116,-2116)
#
# S = {2, 29}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(29,-29)
(29,-2)
(58,-58)
(116,-116)
(841,-841)
(1682,-1682)
(3364,-3364)
#
# S = {2, 31}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(31,-31)
(31,-4)
(32,-31)
(62,-62)
(62,2)
(124,-124)
(124,1)
(961,-961)
(1922,-1922)
(3844,-3844)
(30752,-961)
#
# S = {2, 37}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(37,-37)
(64,-37)
(74,-74)
(148,-148)
(1369,-1369)
(2738,-2738)
(5476,-5476)
#
# S = {2, 41}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(41,-41)
(82,-82)
(164,-164)
(1681,-1681)
(3362,-3362)
(6724,-6724)
#
# S = {2, 43}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(43,-43)
(43,-16)
(86,-86)
(172,-172)
(344,-1)
(1849,-1849)
(3698,-3698)
(7396,-7396)
#
# S = {2, 47}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(47,-47)
(94,-94)
(188,-188)
(2209,-2209)
(4418,-4418)
(8836,-8836)
#
# S = {2, 53}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(53,-53)
(106,-106)
(212,-212)
(212,4)
(2809,-2809)
(5618,-5618)
(11236,-11236)
#
# S = {2, 59}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(59,-59)
(59,-32)
(118,-118)
(236,-236)
(3481,-3481)
(6962,-6962)
(13924,-13924)
#
# S = {2, 61}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(61,-61)
(64,61)
(122,-122)
(244,-244)
(3721,-3721)
(7442,-7442)
(14884,-14884)
#
# S = {2, 67}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(67,-67)
(134,-134)
(268,-268)
(4489,-4489)
(8978,-8978)
(17956,-17956)
#
# S = {2, 71}:
#
(1,-1)
(2,-2)
(2,-1)
(4,-4)
(4,4)
(71,-71)
(142,-142)
(284,-284)
(5041,-5041)
