# List of all pairs of integers (x,y) such that
# x + y is a square, gcd(x,y) is square-free, x >= y, and the only primes dividing x and y lie in S,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 238 pairs (x,y), some of which may appear for more than one S.
# Format: "(x,y)".
# Computing this list took 558 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(3,-3)
(3,-2)
(3,1)
(4,-3)
(6,-6)
(6,-2)
(6,3)
(8,1)
(9,-8)
(12,-3)
(16,9)
(18,-2)
(24,1)
(27,-2)
(48,1)
(81,-32)
(288,1)
(486,-2)
#
# S = {2, 5}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(5,-5)
(5,-4)
(5,-1)
(5,4)
(8,1)
(10,-10)
(10,-1)
(20,5)
(25,-16)
(50,-1)
(80,1)
(125,-4)
#
# S = {2, 7}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(7,-7)
(7,2)
(8,-7)
(8,1)
(14,-14)
(14,2)
(16,-7)
(32,-7)
(49,32)
(56,-7)
(98,2)
(128,-7)
(224,1)
(448,-7)
(512,-343)
(32768,-7)
#
# S = {2, 11}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(11,-11)
(11,-2)
(22,-22)
#
# S = {2, 13}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(13,-13)
(13,-4)
(26,-26)
(26,-1)
(57122,-1)
#
# S = {2, 17}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(17,-17)
(17,-16)
(17,-8)
(17,-1)
(17,8)
(32,17)
(34,-34)
(34,2)
(64,17)
(272,17)
(289,-64)
(512,17)
(578,-2)
(1088,1)
(4913,128)
#
# S = {2, 19}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(19,-19)
(38,-38)
(38,-2)
#
# S = {2, 23}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(23,-23)
(23,2)
(32,-23)
(46,-46)
(2048,-23)
(24334,2)
#
# S = {2, 29}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(29,-29)
(29,-4)
(58,-58)
(1682,-1)
#
# S = {2, 31}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(31,-31)
(32,-31)
(62,-62)
(62,2)
(256,-31)
(961,128)
(992,-31)
(3968,1)
#
# S = {2, 37}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(37,-37)
(37,-1)
(74,-74)
#
# S = {2, 41}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(41,-41)
(41,-32)
(41,-16)
(41,8)
(82,-82)
(82,-1)
(128,41)
(3362,2)
(41984,41)
#
# S = {2, 43}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(43,-43)
(86,-86)
#
# S = {2, 47}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(47,-47)
(47,2)
(94,-94)
(128,-47)
#
# S = {2, 53}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(53,-53)
(53,-4)
(106,-106)
#
# S = {2, 59}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(59,-59)
(118,-118)
#
# S = {2, 61}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(61,-61)
(122,-122)
(122,-1)
#
# S = {2, 67}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(67,-67)
(134,-134)
#
# S = {2, 71}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(71,-71)
(142,-142)
(142,2)
(512,-71)
#
# S = {2, 73}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(73,-73)
(73,-64)
(73,8)
(146,-146)
(146,-2)
#
# S = {2, 79}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(79,-79)
(79,2)
(128,-79)
(158,-158)
#
# S = {2, 83}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(83,-83)
(83,-2)
(166,-166)
#
# S = {2, 89}:
#
(1,-1)
(2,-2)
(2,-1)
(2,2)
(8,1)
(89,-89)
(89,-64)
(89,-8)
(89,32)
(178,-178)
(8192,89)
#
# S = {2, 97}:
#
(1,-1)
(2,-2)
