# List of all primitive integral solutions of the Thue-Mahler equation
# 1x^3 + 0x^2y + -3xy^2 + -1y^3 = 1z,
# such that the only primes dividing z are among S = {3,17,19}.
# It contains 78 pairs in total.
# Format: "(x, y)".
# Computing this list took 19 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-933, 896)
(-712, -379)
(-379, 1091)
(-315, 206)
(-97, -54)
(-90, 59)
(-86, 73)
(-54, 151)
(-46, 31)
(-29, -20)
(-28, -15)
(-20, 49)
(-18, -13)
(-15, -8)
(-15, 43)
(-13, -7)
(-13, 31)
(-11, 10)
(-8, 23)
(-7, -4)
(-7, 5)
(-7, 11)
(-7, 20)
(-6, 7)
(-5, 4)
(-5, 8)
(-5, 9)
(-4, -7)
(-4, -5)
(-4, 3)
(-4, 11)
(-3, -5)
(-3, -2)
(-3, 2)
(-2, 3)
(-2, 5)
(-1, -6)
(-1, -2)
(-1, -1)
(-1, 1)
(-1, 2)
(0, -1)
(1, -11)
(1, -5)
(1, -4)
(1, -3)
(1, 0)
(2, -7)
(2, -1)
(2, 1)
(3, -1)
(3, 1)
(4, 1)
(5, -3)
(5, 2)
(7, -1)
(8, -3)
(9, -4)
(10, 1)
(11, -7)
(11, -4)
(13, -86)
(15, -46)
(20, -13)
(23, -15)
(31, -90)
(31, -18)
(31, 15)
(37, -933)
(43, -28)
(49, -29)
(59, 31)
(73, 13)
(109, -315)
(151, -97)
(206, 109)
(896, 37)
(1091, -712)
